CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
C5001723,1,C5,9704130055,97,4,0,1,1,7,103,1,0,1,2,2,50,2,4,1,4,3,2,9,4,3,8,20,3,2
C8012978,2,C8,9704130220,97,4,2,2,1,7,106,0,2,1,2,2,40,1,1,1,4,15,1,3,1,1,6,9,1,2
C8012978,2,C8,9704130220,97,4,2,2,1,7,106,0,2,1,2,2,40,1,1,1,4,15,1,5,1,1,4,9,1,1
C8012978,2,C8,9704130220,97,4,2,2,1,7,106,0,2,1,2,2,40,1,1,1,4,15,1,3,1,3,8,20,3,2
C7008244,2,C7,9704130335,97,4,3,2,2,7,104,0,1,1,2,2,50,1,1,1,2,12,1,3,1,1,6,14,1,1
C7008150,2,C7,9704130200,97,4,2,2,1,7,104,0,1,1,2,2,50,1,1,1,4,12,2,2,1,1,6,9,1,1
C7007181,2,C7,9703030815,97,3,8,5,3,1,104,0,1,3,1,2,50,2,4,2,4,13,1,5,3,4,6,5,4,2
CC029857,2,CC,9704101900,97,4,19,10,7,4,111,0,2,3,2,2,40,4,4,2,4,16,1,6,1,1,1,9,1,1
CC029857,2,CC,9704101900,97,4,19,10,7,4,111,0,2,3,2,2,40,4,4,2,4,16,1,3,1,1,6,9,1,1
CC031212,2,CC,9703140910,97,3,9,5,4,5,111,0,1,2,1,2,50,1,1,1,2,16,2,3,1,1,3,9,1,1
C7007784,2,C7,9703212120,97,3,21,11,8,5,104,0,1,3,2,2,40,2,2,2,4,12,1,6,1,1,4,6,1,1
CG041857,2,CG,9704121424,97,4,14,8,5,6,114,0,1,1,1,2,40,2,4,1,4,17,2,3,1,1,6,5,1,1
CE037370,2,CE,9704130815,97,4,8,5,3,7,116,0,1,2,1,2,40,1,1,1,4,15,1,5,1,1,5,9,1,1
CG042037,2,CG,9704121600,97,4,16,9,6,6,114,0,1,3,1,2,50,1,1,2,2,12,2,3,1,1,6,9,1,1
CG042038,2,CG,9704130855,97,4,8,5,3,7,114,0,1,3,1,2,50,1,1,2,2,12,2,6,1,1,6,9,1,1
C8013627,2,C8,9704130930,97,4,9,5,4,7,106,0,3,2,1,2,50,2,4,2,4,3,1,5,3,1,5,13,1,1
C5001521,2,C5,9704130853,97,4,8,5,3,7,103,0,1,3,1,2,50,1,1,2,2,16,2,4,1,1,3,5,1,1
C6003572,2,C6,9704131110,97,4,11,6,4,7,108,0,1,3,1,2,50,1,1,2,1,16,1,5,1,1,3,5,1,1
C6003572,2,C6,9704131110,97,4,11,6,4,7,108,0,1,3,1,2,50,1,1,2,1,16,1,5,1,1,6,9,1,1
